fips,asian,white,black,hispanic,popsqmi,nat_amer,pct_change
01001,0.008686,0.785307,0.176706,0.024005,91.8,0.004251,0.249594
01003,0.007396,0.856736,0.093847,0.043848,114.6,0.006672,0.298045
01005,0.003897,0.480023,0.468915,0.050515,31,0.004152,-0.0544459
01007,0.00096,0.758499,0.220249,0.017718,36.8,0.002793,0.100307
01009,0.002041,0.925788,0.013276,0.080702,88.9,0.005356,0.123432
01011,0.001833,0.229705,0.702401,0.071193,17.5,0.002107,-0.0682943
01013,0.00845,0.544183,0.434191,0.009118,27,0.002864,-0.0211225
01015,0.007126,0.749249,0.20563,0.032832,195.7,0.004554,0.0563301
01017,0.00491,0.587812,0.387462,0.015666,57.4,0.002017,-0.0647295
01019,0.002078,0.926584,0.046481,0.012313,46.9,0.005195,0.0834167
01021,0.002979,0.841212,0.096923,0.078363,63,0.003552,0.102291
01023,0.000866,0.557832,0.433798,0.005267,15.2,0.001299,-0.129569
01025,0.002981,0.544652,0.438819,0.01049,20.9,0.003987,-0.0729896
01027,0.001723,0.816825,0.148292,0.028639,23.1,0.003948,-0.0225902
01029,0.001536,0.940355,0.033262,0.020505,26.7,0.003406,0.0601147
01031,0.012893,0.747377,0.167354,0.063666,73.6,0.012913,0.145202
01033,0.004207,0.804531,0.161094,0.020082,91.8,0.004906,-0.010112
01035,0.001285,0.513154,0.464847,0.012171,15.6,0.003326,-0.0611115
01037,0.001387,0.662796,0.310426,0.019932,17.7,0.003467,-0.0543354
01039,0.004104,0.847928,0.124878,0.01279,36.6,0.005667,0.00356089
01041,0.013591,0.726089,0.234,0.01467,22.8,0.004099,0.0176363
01043,0.004266,0.946857,0.010646,0.042957,109.4,0.005074,0.0377244
01045,0.010627,0.741,0.192613,0.056138,89.6,0.007383,0.0228378
01047,0.0034,0.291397,0.694272,0.007052,44.8,0.00194,-0.0548905
01049,0.002855,0.844999,0.01516,0.13627,91.5,0.013627,0.103286
01051,0.006532,0.762329,0.200497,0.026846,128.2,0.003594,0.203859
01053,0.002401,0.620684,0.318902,0.018737,40.5,0.033613,-0.00314776
01055,0.006435,0.802672,0.151259,0.033008,195.2,0.00429,0.00938536
01057,0.002146,0.864799,0.114205,0.011832,27.5,0.003016,-0.0678021
01059,0.001987,0.830179,0.038733,0.148562,50,0.006781,0.0154053
01061,0.002501,0.86327,0.094774,0.034341,46.6,0.008361,0.039823
01063,0.001658,0.174129,0.814815,0.007629,14,0.001879,-0.0931422
01065,0.002221,0.397589,0.590165,0.008883,24.5,0.001586,-0.0829212
01067,0.003121,0.685759,0.285632,0.022483,30.8,0.003294,0.0608216
01069,0.008075,0.699706,0.257772,0.029494,175.1,0.004392,0.143715
01071,0.003476,0.908336,0.03346,0.025156,49.4,0.013508,-0.0129622
01073,0.013908,0.530272,0.419953,0.038708,592.5,0.002643,-0.00540898
01075,0.000275,0.866932,0.112812,0.012359,24.1,0.001648,-0.0842555
01077,0.007389,0.864123,0.09985,0.022457,138.8,0.003646,0.0539186
