month,unemployment,inflation,misery,president
1953-01,2.9,0.38,3.28,eisenhower
1953-02,2.6,0.76,3.36,eisenhower
1953-03,2.6,1.14,3.74,eisenhower
1953-04,2.7,0.76,3.46,eisenhower
1953-05,2.5,1.14,3.64,eisenhower
1953-06,2.5,1.13,3.63,eisenhower
1953-07,2.6,0.37,2.97,eisenhower
1953-08,2.7,0.75,3.45,eisenhower
1953-09,2.9,0.75,3.65,eisenhower
1953-10,3.1,1.12,4.22,eisenhower
1953-11,3.5,0.75,4.25,eisenhower
1953-12,4.5,0.75,5.25,eisenhower
1954-01,4.9,1.13,6.03,eisenhower
1954-02,5.2,1.51,6.71,eisenhower
1954-03,5.7,1.13,6.83,eisenhower
1954-04,5.9,0.75,6.65,eisenhower
1954-05,5.9,0.75,6.65,eisenhower
1954-06,5.6,0.37,5.97,eisenhower
1954-07,5.8,0.37,6.17,eisenhower
1954-08,6,0,6,eisenhower
1954-09,6.1,-0.37,5.73,eisenhower
1954-10,5.7,-0.74,4.96,eisenhower
1954-11,5.3,-0.37,4.93,eisenhower
1954-12,5,-0.74,4.26,eisenhower
1955-01,4.9,-0.74,4.16,eisenhower
1955-02,4.7,-0.74,3.96,eisenhower
1955-03,4.6,-0.74,3.86,eisenhower
1955-04,4.7,-0.37,4.33,eisenhower
1955-05,4.3,-0.74,3.56,eisenhower
1955-06,4.2,-0.74,3.46,eisenhower
1955-07,4,-0.37,3.63,eisenhower
1955-08,4.2,-0.37,3.83,eisenhower
1955-09,4.1,0.37,4.47,eisenhower
1955-10,4.3,0.37,4.67,eisenhower
1955-11,4.2,0.37,4.57,eisenhower
1955-12,4.2,0.37,4.57,eisenhower
1956-01,4,0.37,4.37,eisenhower
1956-02,3.9,0.37,4.27,eisenhower
1956-03,4.2,0.37,4.57,eisenhower
1956-04,4,0.75,4.75,eisenhower
1956-05,4.3,1.12,5.42,eisenhower
1956-06,4.3,1.87,6.17,eisenhower
1956-07,4.4,2.24,6.64,eisenhower
1956-08,4.1,1.87,5.97,eisenhower
1956-09,3.9,1.86,5.76,eisenhower
1956-10,3.9,2.23,6.13,eisenhower
1956-11,4.3,2.23,6.53,eisenhower
1956-12,4.2,2.99,7.19,eisenhower
1957-01,4.2,2.99,7.19,eisenhower
1957-02,3.9,3.36,7.26,eisenhower
1957-03,3.7,3.73,7.43,eisenhower
1957-04,3.9,3.72,7.62,eisenhower
1957-05,4.1,3.7,7.8,eisenhower
1957-06,4.3,3.31,7.61,eisenhower
1957-07,4.2,3.28,7.48,eisenhower
1957-08,4.1,3.66,7.76,eisenhower
1957-09,4.4,3.28,7.68,eisenhower
1957-10,4.5,2.91,7.41,eisenhower
1957-11,5.1,3.27,8.37,eisenhower
1957-12,5.2,2.9,8.1,eisenhower
1958-01,5.8,3.62,9.42,eisenhower
1958-02,6.4,3.25,9.65,eisenhower
1958-03,6.7,3.6,10.3,eisenhower
1958-04,7.4,3.58,10.98,eisenhower
1958-05,7.4,3.21,10.61,eisenhower
1958-06,7.3,2.85,10.15,eisenhower
1958-07,7.5,2.47,9.97,eisenhower
1958-08,7.4,2.12,9.52,eisenhower
1958-09,7.1,2.12,9.22,eisenhower
1958-10,6.7,2.12,8.82,eisenhower
1958-11,6.2,2.11,8.31,eisenhower
1958-12,6.2,1.76,7.96,eisenhower
1959-01,6,1.4,7.4,eisenhower
1959-02,5.9,1.05,6.95,eisenhower
1959-03,5.6,0.35,5.95,eisenhower
1959-04,5.2,0.35,5.55,eisenhower
1959-05,5.1,0.35,5.45,eisenhower
1959-06,5,0.69,5.69,eisenhower
1959-07,5.1,0.69,5.79,eisenhower
1959-08,5.2,1.04,6.24,eisenhower
1959-09,5.5,1.38,6.88,eisenhower
1959-10,5.7,1.73,7.43,eisenhower
1959-11,5.8,1.38,7.18,eisenhower
1959-12,5.3,1.73,7.03,eisenhower
1960-01,5.2,1.03,6.23,eisenhower
1960-02,4.8,1.73,6.53,eisenhower
1960-03,5.4,1.73,7.13,eisenhower
1960-04,5.2,1.72,6.92,eisenhower
1960-05,5.1,1.72,6.82,eisenhower
1960-06,5.4,1.72,7.12,eisenhower
